User ID;Interface Category;UI order;UI rank ;Overall Pragmatic Quality;Overall Hedonic Quality;Overall UEQ Score;Mean SUS Score;Mean TLX Score
14230;1;2;2;6.25;5.75;6.0;92.5;1.8333333333333333
14230;2;1;1;5.5;5.25;5.375;80.0;3.1666666666666665
15629;1;1;1;4.0;3.75;3.875;62.5;5.0
15629;2;2;2;6.0;5.0;5.5;80.0;3.6666666666666665
16063;1;1;1;5.0;4.25;4.625;82.5;6.5
16063;2;2;2;6.5;5.75;6.125;87.5;3.8333333333333335
16836;1;1;1;5.0;3.75;4.375;80.0;1.3333333333333333
16836;2;2;2;5.5;4.25;4.875;82.5;0.6666666666666666
17739;1;1;1;3.0;3.75;3.375;45.0;4.5
17739;2;2;2;5.5;4.5;5.0;85.0;1.6666666666666667
22254;1;2;1;4.0;2.5;3.25;50.0;6.166666666666667
22254;2;1;2;5.5;5.25;5.375;70.0;7.5
24306;1;2;2;2.75;4.25;3.5;35.0;6.0
24306;2;1;1;6.5;4.0;5.25;77.5;4.5
29622;1;2;2;6.25;5.0;5.625;87.5;4.666666666666667
29622;2;1;1;4.75;5.25;5.0;45.0;8.5
31434;1;2;1;3.0;1.75;2.375;50.0;6.666666666666667
31434;2;1;2;6.0;5.25;5.625;77.5;1.5
37786;1;1;1;4.25;5.25;4.75;47.5;6.0
37786;2;2;2;5.25;3.5;4.375;90.0;1.1666666666666667
39081;1;1;2;4.5;6.5;5.5;52.5;9.0
39081;2;2;1;2.75;5.0;3.875;42.5;9.166666666666666
40949;1;2;1;7.0;7.0;7.0;100.0;0.0
40949;2;1;2;6.25;5.5;5.875;82.5;2.6666666666666665
43223;1;2;2;2.25;5.5;3.875;27.5;8.5
43223;2;1;1;4.25;2.5;3.375;50.0;6.833333333333333
60724;2;1;2;5.25;5.25;5.25;87.5;2.0
60734;1;2;1;6.5;5.25;5.875;82.5;1.5
62968;1;2;1;2.0;5.0;3.5;10.0;14.833333333333334
62968;2;1;2;5.25;3.25;4.25;90.0;4.166666666666667
63367;1;1;1;3.25;5.5;4.375;67.5;8.5
63367;2;2;2;6.0;5.0;5.5;92.5;0.0
65939;1;1;2;3.75;4.75;4.25;37.5;6.166666666666667
65939;2;2;1;4.0;4.75;4.375;37.5;7.666666666666667
74931;1;2;2;5.0;6.25;5.625;77.5;4.333333333333333
74931;2;1;1;5.25;5.5;5.375;75.0;6.5
76970;1;2;2;6.25;2.5;4.375;67.5;0.0
76970;2;1;1;3.75;2.25;3.0;47.5;7.666666666666667
81691;1;2;1;3.75;5.5;4.625;92.5;1.5
81691;2;1;2;6.75;6.0;6.375;95.0;0.0
82586;1;2;2;4.5;5.0;4.75;45.0;2.8333333333333335
82586;2;1;1;3.25;2.75;3.0;55.0;1.1666666666666667
83213;1;1;1;5.5;4.75;5.125;62.5;4.166666666666667
83213;1;2;2;5.5;4.75;5.125;62.5;-1.0
84586;1;1;1;6.0;5.25;5.625;95.0;3.3333333333333335
84586;2;2;2;3.5;4.5;4.0;55.0;3.0
86614;1;1;2;6.0;6.5;6.25;95.0;0.6666666666666666
86614;2;2;1;3.25;5.5;4.375;70.0;2.0
94249;1;1;1;6.0;4.5;5.25;85.0;1.3333333333333333
94249;2;2;2;5.5;4.5;5.0;80.0;0.6666666666666666
69163;1;2;2;3.75;5.75;4.75;55.0;6.0
69163;2;1;1;4.25;3.25;3.75;40.0;7.166666666666667
14076;1;1;1;4.75;3.0;3.875;50.0;-3.0
14076;2;2;2;3.0;4.0;3.5;57.5;5.833333333333333
40280;1;1;2;7.0;6.5;6.75;97.5;1.3333333333333333
40280;2;2;1;3.5;4.25;3.875;47.5;2.1666666666666665